forecast_id,product_id,customer_id,forecast_month,forecast_qty,forecast_accuracy,created_at
FC000001,P001,CUS001,2023-01-01 00:00:00,825,0.7022,2022-11-19
FC000002,P001,CUS001,2023-02-01 00:00:00,835,0.6413,2022-12-20
FC000003,P001,CUS001,2023-03-01 00:00:00,921,0.6658,2023-02-09
FC000004,P001,CUS001,2023-04-01 00:00:00,946,0.5306,2023-03-05
FC000005,P001,CUS001,2023-05-01 00:00:00,1000,0.5192,2023-03-22
FC000006,P001,CUS001,2023-06-01 00:00:00,1040,0.6734,2023-04-29
FC000007,P001,CUS001,2023-07-01 00:00:00,1046,0.5718,2023-06-11
FC000008,P001,CUS001,2023-08-01 00:00:00,1081,0.619,2023-07-07
FC000009,P001,CUS001,2023-09-01 00:00:00,891,0.5529,2023-07-19
FC000010,P001,CUS001,2023-10-01 00:00:00,788,0.62,2023-09-09
FC000011,P001,CUS001,2023-11-01 00:00:00,755,0.5881,2023-10-04
FC000012,P001,CUS001,2023-12-01 00:00:00,823,0.6573,2023-10-19
FC000013,P001,CUS001,2024-01-01 00:00:00,771,0.6841,2023-12-10
FC000014,P001,CUS001,2024-02-01 00:00:00,866,0.6295,2023-12-23
FC000015,P001,CUS001,2024-03-01 00:00:00,820,0.5652,2024-01-19
FC000016,P001,CUS001,2024-04-01 00:00:00,893,0.5618,2024-02-20
FC000017,P001,CUS001,2024-05-01 00:00:00,1065,0.6552,2024-04-04
FC000018,P001,CUS001,2024-06-01 00:00:00,1148,0.593,2024-04-30
FC000019,P001,CUS001,2024-07-01 00:00:00,1040,0.5126,2024-05-31
FC000020,P001,CUS001,2024-08-01 00:00:00,1126,0.6643,2024-06-21
FC000021,P001,CUS001,2024-09-01 00:00:00,926,0.5995,2024-07-24
FC000022,P001,CUS001,2024-10-01 00:00:00,1040,0.5387,2024-08-25
FC000023,P001,CUS001,2024-11-01 00:00:00,821,0.5109,2024-09-22
FC000024,P001,CUS001,2024-12-01 00:00:00,771,0.5643,2024-11-04
FC000025,P001,CUS001,2025-01-01 00:00:00,780,0.5147,2024-12-05
FC000026,P001,CUS001,2025-02-01 00:00:00,761,0.6653,2024-12-18
FC000027,P001,CUS001,2025-03-01 00:00:00,936,0.514,2025-01-22
FC000028,P001,CUS001,2025-04-01 00:00:00,1096,0.595,2025-03-02
FC000029,P001,CUS001,2025-05-01 00:00:00,1116,0.5801,2025-03-22
FC000030,P001,CUS001,2025-06-01 00:00:00,1216,0.5334,2025-05-04
FC000031,P001,CUS001,2025-07-01 00:00:00,1191,0.6203,2025-05-19
FC000032,P001,CUS001,2025-08-01 00:00:00,1154,0.5975,2025-06-24
FC000033,P001,CUS001,2025-09-01 00:00:00,932,0.5079,2025-07-27
FC000034,P001,CUS001,2025-10-01 00:00:00,936,0.7146,2025-08-18
FC000035,P001,CUS001,2025-11-01 00:00:00,886,0.6047,2025-09-17
FC000036,P001,CUS001,2025-12-01 00:00:00,846,0.5838,2025-10-23
FC000037,P001,CUS001,2026-01-01 00:00:00,921,0.7231,2025-11-26
FC000038,P001,CUS001,2026-02-01 00:00:00,944,0.6372,2025-12-26
FC000039,P001,CUS001,2026-03-01 00:00:00,1001,0.7295,2026-01-19
FC000040,P002,CUS001,2023-01-01 00:00:00,904,0.5849,2022-11-18
FC000041,P002,CUS001,2023-02-01 00:00:00,949,0.598,2022-12-29
FC000042,P002,CUS001,2023-03-01 00:00:00,1023,0.715,2023-01-17
FC000043,P002,CUS001,2023-04-01 00:00:00,1188,0.6605,2023-03-07
FC000044,P002,CUS001,2023-05-01 00:00:00,1147,0.5687,2023-04-08
FC000045,P002,CUS001,2023-06-01 00:00:00,1281,0.6968,2023-04-23
FC000046,P002,CUS001,2023-07-01 00:00:00,1147,0.6723,2023-05-31
FC000047,P002,CUS001,2023-08-01 00:00:00,1160,0.5576,2023-06-26
FC000048,P002,CUS001,2023-09-01 00:00:00,967,0.5681,2023-07-24
FC000049,P002,CUS001,2023-10-01 00:00:00,989,0.5285,2023-08-17
FC000050,P002,CUS001,2023-11-01 00:00:00,953,0.5929,2023-10-11
FC000051,P002,CUS001,2023-12-01 00:00:00,926,0.7067,2023-10-19
FC000052,P002,CUS001,2024-01-01 00:00:00,1043,0.5807,2023-12-10
FC000053,P002,CUS001,2024-02-01 00:00:00,1107,0.5957,2023-12-22
