snapshot_id,component_id,warehouse_id,snapshot_month,stock_qty,safety_stock_qty,replenishment_qty,demand_qty
INV0000001,C001,WH001,2023-01-01,5482,598,0,264
INV0000002,C001,WH002,2023-01-01,3495,299,0,132
INV0000003,C001,WH003,2023-01-01,6664,747,0,331
INV0000004,C001,WH004,2023-01-01,4545,448,0,198
INV0000005,C001,WH005,2023-01-01,2037,239,0,105
INV0000006,C001,WH006,2023-01-01,1970,179,0,79
INV0000007,C001,WH007,2023-01-01,1727,149,0,66
INV0000008,C001,WH008,2023-01-01,913,89,0,39
INV0000009,C001,WH009,2023-01-01,1049,119,0,52
INV0000010,C001,WH010,2023-01-01,1069,119,0,52
INV0000011,C001,WH001,2023-02-01,5222,598,0,241
INV0000012,C001,WH002,2023-02-01,3185,299,0,120
INV0000013,C001,WH003,2023-02-01,5984,747,0,301
INV0000014,C001,WH004,2023-02-01,4645,448,0,181
INV0000015,C001,WH005,2023-02-01,2047,239,0,96
INV0000016,C001,WH006,2023-02-01,1905,179,0,72
INV0000017,C001,WH007,2023-02-01,1612,149,0,60
INV0000018,C001,WH008,2023-02-01,813,89,0,36
INV0000019,C001,WH009,2023-02-01,933,119,0,48
INV0000020,C001,WH010,2023-02-01,946,119,0,48
INV0000021,C001,WH001,2023-03-01,4848,598,0,315
INV0000022,C001,WH002,2023-03-01,2831,299,0,157
INV0000023,C001,WH003,2023-03-01,5733,747,0,394
INV0000024,C001,WH004,2023-03-01,4457,448,0,236
INV0000025,C001,WH005,2023-03-01,1845,239,0,126
INV0000026,C001,WH006,2023-03-01,1739,179,0,94
INV0000027,C001,WH007,2023-03-01,1431,149,0,78
INV0000028,C001,WH008,2023-03-01,766,89,0,47
INV0000029,C001,WH009,2023-03-01,816,119,0,63
INV0000030,C001,WH010,2023-03-01,905,119,0,63
INV0000031,C001,WH001,2023-04-01,4331,598,0,284
INV0000032,C001,WH002,2023-04-01,2642,299,0,142
INV0000033,C001,WH003,2023-04-01,5018,747,0,356
INV0000034,C001,WH004,2023-04-01,4499,448,0,213
INV0000035,C001,WH005,2023-04-01,1675,239,0,113
INV0000036,C001,WH006,2023-04-01,1677,179,0,85
INV0000037,C001,WH007,2023-04-01,1350,149,0,71
INV0000038,C001,WH008,2023-04-01,743,89,0,42
INV0000039,C001,WH009,2023-04-01,775,119,0,56
INV0000040,C001,WH010,2023-04-01,817,119,0,56
INV0000041,C001,WH001,2023-05-01,4252,598,0,317
INV0000042,C001,WH002,2023-05-01,2359,299,0,158
INV0000043,C001,WH003,2023-05-01,4388,747,0,397
INV0000044,C001,WH004,2023-05-01,4429,448,0,238
INV0000045,C001,WH005,2023-05-01,1573,239,0,127
INV0000046,C001,WH006,2023-05-01,1676,179,0,95
INV0000047,C001,WH007,2023-05-01,1190,149,0,79
INV0000048,C001,WH008,2023-05-01,699,89,0,47
INV0000049,C001,WH009,2023-05-01,655,119,0,63
INV0000050,C001,WH010,2023-05-01,707,119,0,63
INV0000051,C001,WH001,2023-06-01,3897,598,0,340
INV0000052,C001,WH002,2023-06-01,2256,299,0,170
INV0000053,C001,WH003,2023-06-01,4196,747,0,425
INV0000054,C001,WH004,2023-06-01,4485,448,0,255
INV0000055,C001,WH005,2023-06-01,1460,239,0,136
INV0000056,C001,WH006,2023-06-01,1570,179,0,102
INV0000057,C001,WH007,2023-06-01,1125,149,0,85
INV0000058,C001,WH008,2023-06-01,697,89,0,51
INV0000059,C001,WH009,2023-06-01,573,119,0,68
INV0000060,C001,WH010,2023-06-01,656,119,0,68
INV0000061,C001,WH001,2023-07-01,3517,598,0,319
INV0000062,C001,WH002,2023-07-01,2030,299,0,159
INV0000063,C001,WH003,2023-07-01,3569,747,0,399
INV0000064,C001,WH004,2023-07-01,3915,448,0,239
INV0000065,C001,WH005,2023-07-01,1250,239,0,127
INV0000066,C001,WH006,2023-07-01,1360,179,0,95
INV0000067,C001,WH007,2023-07-01,1124,149,0,79
INV0000068,C001,WH008,2023-07-01,687,89,0,47
INV0000069,C001,WH009,2023-07-01,486,119,0,63
INV0000070,C001,WH010,2023-07-01,607,119,0,63
INV0000071,C001,WH001,2023-08-01,3200,598,0,283
INV0000072,C001,WH002,2023-08-01,1927,299,0,141
INV0000073,C001,WH003,2023-08-01,3364,747,0,354
INV0000074,C001,WH004,2023-08-01,3519,448,0,212
INV0000075,C001,WH005,2023-08-01,1100,239,0,113
INV0000076,C001,WH006,2023-08-01,1268,179,0,84
INV0000077,C001,WH007,2023-08-01,1049,149,0,70
INV0000078,C001,WH008,2023-08-01,595,89,0,42
INV0000079,C001,WH009,2023-08-01,407,119,0,56
INV0000080,C001,WH010,2023-08-01,520,119,0,56
INV0000081,C001,WH001,2023-09-01,3153,598,0,264
INV0000082,C001,WH002,2023-09-01,1786,299,0,132
INV0000083,C001,WH003,2023-09-01,3207,747,0,331
INV0000084,C001,WH004,2023-09-01,3366,448,0,198
INV0000085,C001,WH005,2023-09-01,947,239,0,105
INV0000086,C001,WH006,2023-09-01,1202,179,0,79
INV0000087,C001,WH007,2023-09-01,1035,149,0,66
INV0000088,C001,WH008,2023-09-01,516,89,0,39
INV0000089,C001,WH009,2023-09-01,327,119,0,52
INV0000090,C001,WH010,2023-09-01,477,119,0,52
INV0000091,C001,WH001,2023-10-01,3103,598,0,271
INV0000092,C001,WH002,2023-10-01,1743,299,0,135
INV0000093,C001,WH003,2023-10-01,2976,747,0,339
INV0000094,C001,WH004,2023-10-01,3211,448,0,203
INV0000095,C001,WH005,2023-10-01,846,239,0,108
INV0000096,C001,WH006,2023-10-01,1083,179,0,81
INV0000097,C001,WH007,2023-10-01,966,149,0,67
INV0000098,C001,WH008,2023-10-01,474,89,0,40
INV0000099,C001,WH009,2023-10-01,276,119,0,54
INV0000100,C001,WH010,2023-10-01,430,119,0,54
INV0000101,C001,WH001,2023-11-01,2973,598,0,273
INV0000102,C001,WH002,2023-11-01,1603,299,0,136
INV0000103,C001,WH003,2023-11-01,2725,747,0,341
INV0000104,C001,WH004,2023-11-01,3020,448,0,204
INV0000105,C001,WH005,2023-11-01,727,239,0,109
INV0000106,C001,WH006,2023-11-01,972,179,0,81
INV0000107,C001,WH007,2023-11-01,835,149,0,68
INV0000108,C001,WH008,2023-11-01,461,89,0,40
INV0000109,C001,WH009,2023-11-01,219,119,0,54
INV0000110,C001,WH010,2023-11-01,374,119,0,54
INV0000111,C001,WH001,2023-12-01,2907,598,0,256
INV0000112,C001,WH002,2023-12-01,1438,299,0,128
INV0000113,C001,WH003,2023-12-01,2479,747,0,321
INV0000114,C001,WH004,2023-12-01,2611,448,0,192
INV0000115,C001,WH005,2023-12-01,603,239,0,102
INV0000116,C001,WH006,2023-12-01,850,179,0,77
INV0000117,C001,WH007,2023-12-01,751,149,0,64
INV0000118,C001,WH008,2023-12-01,404,89,0,38
INV0000119,C001,WH009,2023-12-01,160,119,0,51
INV0000120,C001,WH010,2023-12-01,344,119,0,51
INV0000121,C001,WH001,2024-01-01,2693,598,0,257
INV0000122,C001,WH002,2024-01-01,1381,299,0,128
INV0000123,C001,WH003,2024-01-01,2212,747,0,321
INV0000124,C001,WH004,2024-01-01,2275,448,0,193
INV0000125,C001,WH005,2024-01-01,484,239,0,102
INV0000126,C001,WH006,2024-01-01,799,179,0,77
INV0000127,C001,WH007,2024-01-01,737,149,0,64
INV0000128,C001,WH008,2024-01-01,385,89,0,38
INV0000129,C001,WH009,2024-01-01,625,119,500,51
INV0000130,C001,WH010,2024-01-01,303,119,0,51
INV0000131,C001,WH001,2024-02-01,2539,598,0,270
INV0000132,C001,WH002,2024-02-01,1314,299,0,135
INV0000133,C001,WH003,2024-02-01,1910,747,0,338
INV0000134,C001,WH004,2024-02-01,2000,448,0,202
INV0000135,C001,WH005,2024-02-01,390,239,0,108
INV0000136,C001,WH006,2024-02-01,737,179,0,81
INV0000137,C001,WH007,2024-02-01,630,149,0,67
INV0000138,C001,WH008,2024-02-01,328,89,0,40
INV0000139,C001,WH009,2024-02-01,580,119,0,54
INV0000140,C001,WH010,2024-02-01,233,119,0,54
INV0000141,C001,WH001,2024-03-01,2465,598,0,254
INV0000142,C001,WH002,2024-03-01,1149,299,0,127
INV0000143,C001,WH003,2024-03-01,1517,747,0,318
INV0000144,C001,WH004,2024-03-01,1677,448,0,191
INV0000145,C001,WH005,2024-03-01,266,239,0,101
INV0000146,C001,WH006,2024-03-01,701,179,0,76
INV0000147,C001,WH007,2024-03-01,554,149,0,63
INV0000148,C001,WH008,2024-03-01,274,89,0,38
INV0000149,C001,WH009,2024-03-01,557,119,0,50
INV0000150,C001,WH010,2024-03-01,194,119,0,50
INV0000151,C001,WH001,2024-04-01,1984,598,0,332
INV0000152,C001,WH002,2024-04-01,972,299,0,166
INV0000153,C001,WH003,2024-04-01,1122,747,0,415
INV0000154,C001,WH004,2024-04-01,1341,448,0,249
INV0000155,C001,WH005,2024-04-01,606,239,500,132
INV0000156,C001,WH006,2024-04-01,578,179,0,99
INV0000157,C001,WH007,2024-04-01,458,149,0,83
INV0000158,C001,WH008,2024-04-01,219,89,0,49
INV0000159,C001,WH009,2024-04-01,455,119,0,66
INV0000160,C001,WH010,2024-04-01,135,119,0,66
INV0000161,C001,WH001,2024-05-01,1604,598,0,285
INV0000162,C001,WH002,2024-05-01,855,299,0,142
INV0000163,C001,WH003,2024-05-01,767,747,0,356
INV0000164,C001,WH004,2024-05-01,1158,448,0,213
INV0000165,C001,WH005,2024-05-01,508,239,0,114
INV0000166,C001,WH006,2024-05-01,526,179,0,85
