lead_time_id,component_id,supplier_id,effective_date,lead_time_weeks,change_reason,recorded_at
LT000001,C001,SUP002,2023-01-01,55,初回登録,2023-01-01
LT000002,C001,SUP002,2023-04-01,54,通常,2023-04-01
LT000003,C001,SUP002,2023-07-01,41,需給改善,2023-07-01
LT000004,C001,SUP002,2023-10-01,36,物流混雑緩和,2023-10-01
LT000005,C001,SUP002,2024-01-01,34,通常,2024-01-01
LT000006,C001,SUP002,2024-04-01,31,通常,2024-04-01
LT000007,C001,SUP002,2024-07-01,28,通常,2024-07-01
LT000008,C001,SUP002,2024-10-01,28,通常,2024-10-01
LT000009,C001,SUP002,2025-01-01,24,物流混雑緩和,2025-01-01
LT000010,C001,SUP002,2025-04-01,27,ファウンドリ不足,2025-04-01
LT000011,C001,SUP002,2025-07-01,20,通常,2025-07-01
LT000012,C001,SUP002,2025-10-01,19,通常,2025-10-01
LT000013,C001,SUP002,2026-01-01,24,需給改善,2026-01-01
LT_INT_000000,C001,SUP002,2023-02-01,53,月次更新,2023-02-01
LT_INT_000001,C001,SUP002,2023-03-01,53,月次更新,2023-03-01
LT_INT_000002,C001,SUP002,2023-05-01,49,月次更新,2023-05-01
LT_INT_000003,C001,SUP002,2023-06-01,46,月次更新,2023-06-01
LT_INT_000004,C001,SUP002,2023-08-01,39,月次更新,2023-08-01
LT_INT_000005,C001,SUP002,2023-09-01,38,月次更新,2023-09-01
LT_INT_000006,C001,SUP002,2023-11-01,36,月次更新,2023-11-01
LT_INT_000007,C001,SUP002,2023-12-01,35,月次更新,2023-12-01
LT_INT_000008,C001,SUP002,2024-02-01,34,月次更新,2024-02-01
LT_INT_000009,C001,SUP002,2024-03-01,33,月次更新,2024-03-01
LT_INT_000010,C001,SUP002,2024-05-01,31,月次更新,2024-05-01
LT_INT_000011,C001,SUP002,2024-06-01,30,月次更新,2024-06-01
LT_INT_000012,C001,SUP002,2024-08-01,28,月次更新,2024-08-01
LT_INT_000013,C001,SUP002,2024-09-01,27,月次更新,2024-09-01
LT_INT_000014,C001,SUP002,2024-11-01,25,月次更新,2024-11-01
LT_INT_000015,C001,SUP002,2024-12-01,25,月次更新,2024-12-01
LT_INT_000016,C001,SUP002,2025-02-01,25,月次更新,2025-02-01
LT_INT_000017,C001,SUP002,2025-03-01,26,月次更新,2025-03-01
LT_INT_000018,C001,SUP002,2025-05-01,26,月次更新,2025-05-01
LT_INT_000019,C001,SUP002,2025-06-01,27,月次更新,2025-06-01
LT_INT_000020,C001,SUP002,2025-08-01,20,月次更新,2025-08-01
LT_INT_000021,C001,SUP002,2025-09-01,22,月次更新,2025-09-01
LT_INT_000022,C001,SUP002,2025-11-01,20,月次更新,2025-11-01
LT_INT_000023,C001,SUP002,2025-12-01,20,月次更新,2025-12-01
LT000014,C002,SUP002,2023-01-01,57,初回登録,2023-01-01
LT000015,C002,SUP002,2023-04-01,58,通常,2023-04-01
LT000016,C002,SUP002,2023-07-01,44,物流混雑緩和,2023-07-01
LT000017,C002,SUP002,2023-10-01,38,物流混雑緩和,2023-10-01
LT000018,C002,SUP002,2024-01-01,36,通常,2024-01-01
LT000019,C002,SUP002,2024-04-01,35,通常,2024-04-01
LT000020,C002,SUP002,2024-07-01,32,通常,2024-07-01
LT000021,C002,SUP002,2024-10-01,28,物流混雑緩和,2024-10-01
LT000022,C002,SUP002,2025-01-01,26,通常,2025-01-01
LT000023,C002,SUP002,2025-04-01,28,通常,2025-04-01
LT000024,C002,SUP002,2025-07-01,25,通常,2025-07-01
LT000025,C002,SUP002,2025-10-01,25,通常,2025-10-01
LT000026,C002,SUP002,2026-01-01,25,増産効果,2026-01-01
LT_INT_000024,C002,SUP002,2023-02-01,57,月次更新,2023-02-01
LT_INT_000025,C002,SUP002,2023-03-01,58,月次更新,2023-03-01
LT_INT_000026,C002,SUP002,2023-05-01,53,月次更新,2023-05-01
LT_INT_000027,C002,SUP002,2023-06-01,49,月次更新,2023-06-01
LT_INT_000028,C002,SUP002,2023-08-01,41,月次更新,2023-08-01
LT_INT_000029,C002,SUP002,2023-09-01,40,月次更新,2023-09-01
LT_INT_000030,C002,SUP002,2023-11-01,37,月次更新,2023-11-01
LT_INT_000031,C002,SUP002,2023-12-01,35,月次更新,2023-12-01
LT_INT_000032,C002,SUP002,2024-02-01,34,月次更新,2024-02-01
LT_INT_000033,C002,SUP002,2024-03-01,34,月次更新,2024-03-01
LT_INT_000034,C002,SUP002,2024-05-01,34,月次更新,2024-05-01
LT_INT_000035,C002,SUP002,2024-06-01,34,月次更新,2024-06-01
LT_INT_000036,C002,SUP002,2024-08-01,30,月次更新,2024-08-01
LT_INT_000037,C002,SUP002,2024-09-01,30,月次更新,2024-09-01
LT_INT_000038,C002,SUP002,2024-11-01,27,月次更新,2024-11-01
LT_INT_000039,C002,SUP002,2024-12-01,26,月次更新,2024-12-01
LT_INT_000040,C002,SUP002,2025-02-01,25,月次更新,2025-02-01
LT_INT_000041,C002,SUP002,2025-03-01,28,月次更新,2025-03-01
LT_INT_000042,C002,SUP002,2025-05-01,28,月次更新,2025-05-01
LT_INT_000043,C002,SUP002,2025-06-01,29,月次更新,2025-06-01
LT_INT_000044,C002,SUP002,2025-08-01,25,月次更新,2025-08-01
LT_INT_000045,C002,SUP002,2025-09-01,25,月次更新,2025-09-01
LT_INT_000046,C002,SUP002,2025-11-01,25,月次更新,2025-11-01
LT_INT_000047,C002,SUP002,2025-12-01,25,月次更新,2025-12-01
LT000027,C003,SUP001,2023-01-01,50,初回登録,2023-01-01
LT000028,C003,SUP001,2023-04-01,48,通常,2023-04-01
LT000029,C003,SUP001,2023-07-01,37,増産効果,2023-07-01
LT000030,C003,SUP001,2023-10-01,31,物流混雑緩和,2023-10-01
LT000031,C003,SUP001,2024-01-01,31,通常,2024-01-01
LT000032,C003,SUP001,2024-04-01,29,通常,2024-04-01
LT000033,C003,SUP001,2024-07-01,28,通常,2024-07-01
LT000034,C003,SUP001,2024-10-01,26,通常,2024-10-01
LT000035,C003,SUP001,2025-01-01,25,通常,2025-01-01
LT000036,C003,SUP001,2025-04-01,23,通常,2025-04-01
LT000037,C003,SUP001,2025-07-01,22,通常,2025-07-01
LT000038,C003,SUP001,2025-10-01,22,通常,2025-10-01
LT000039,C003,SUP001,2026-01-01,22,需給改善,2026-01-01
LT_INT_000048,C003,SUP001,2023-02-01,50,月次更新,2023-02-01
LT_INT_000049,C003,SUP001,2023-03-01,48,月次更新,2023-03-01
LT_INT_000050,C003,SUP001,2023-05-01,45,月次更新,2023-05-01
LT_INT_000051,C003,SUP001,2023-06-01,39,月次更新,2023-06-01
LT_INT_000052,C003,SUP001,2023-08-01,35,月次更新,2023-08-01
LT_INT_000053,C003,SUP001,2023-09-01,34,月次更新,2023-09-01
LT_INT_000054,C003,SUP001,2023-11-01,30,月次更新,2023-11-01
LT_INT_000055,C003,SUP001,2023-12-01,30,月次更新,2023-12-01
LT_INT_000056,C003,SUP001,2024-02-01,31,月次更新,2024-02-01
LT_INT_000057,C003,SUP001,2024-03-01,29,月次更新,2024-03-01
LT_INT_000058,C003,SUP001,2024-05-01,28,月次更新,2024-05-01
LT_INT_000059,C003,SUP001,2024-06-01,27,月次更新,2024-06-01
LT_INT_000060,C003,SUP001,2024-08-01,27,月次更新,2024-08-01
LT_INT_000061,C003,SUP001,2024-09-01,26,月次更新,2024-09-01
LT_INT_000062,C003,SUP001,2024-11-01,25,月次更新,2024-11-01
LT_INT_000063,C003,SUP001,2024-12-01,24,月次更新,2024-12-01
LT_INT_000064,C003,SUP001,2025-02-01,25,月次更新,2025-02-01
LT_INT_000065,C003,SUP001,2025-03-01,23,月次更新,2025-03-01
LT_INT_000066,C003,SUP001,2025-05-01,22,月次更新,2025-05-01
LT_INT_000067,C003,SUP001,2025-06-01,22,月次更新,2025-06-01
LT_INT_000068,C003,SUP001,2025-08-01,22,月次更新,2025-08-01
LT_INT_000069,C003,SUP001,2025-09-01,22,月次更新,2025-09-01
LT_INT_000070,C003,SUP001,2025-11-01,22,月次更新,2025-11-01
LT_INT_000071,C003,SUP001,2025-12-01,22,月次更新,2025-12-01
LT000040,C004,SUP001,2023-01-01,57,初回登録,2023-01-01
LT000041,C004,SUP001,2023-04-01,48,増産効果,2023-04-01
LT000042,C004,SUP001,2023-07-01,44,通常,2023-07-01
LT000043,C004,SUP001,2023-10-01,35,物流混雑緩和,2023-10-01
LT000044,C004,SUP001,2024-01-01,33,通常,2024-01-01
LT000045,C004,SUP001,2024-04-01,31,通常,2024-04-01
LT000046,C004,SUP001,2024-07-01,30,通常,2024-07-01
LT000047,C004,SUP001,2024-10-01,28,通常,2024-10-01
LT000048,C004,SUP001,2025-01-01,27,通常,2025-01-01
LT000049,C004,SUP001,2025-04-01,27,通常,2025-04-01
LT000050,C004,SUP001,2025-07-01,23,通常,2025-07-01
LT000051,C004,SUP001,2025-10-01,23,通常,2025-10-01
LT000052,C004,SUP001,2026-01-01,23,物流混雑緩和,2026-01-01
LT_INT_000072,C004,SUP001,2023-02-01,55,月次更新,2023-02-01
