shipment_id,component_id,supplier_id,destination_warehouse_id,order_date,expected_arrival_date,actual_arrival_date,quantity,status,delay_days,delay_cause,unit_cost_usd
SH0000001,C001,SUP002,WH001,2023-01-21,2024-02-10,2024-02-10,500,delivered,0,,18.5
SH0000002,C001,SUP002,WH003,2023-03-04,2024-03-23,2024-03-23,1000,delivered,0,,18.5
SH0000003,C001,SUP002,WH001,2023-04-01,2024-04-13,2024-04-13,2000,delivered,0,,18.5
SH0000004,C001,SUP002,WH005,2023-05-06,2024-05-18,2024-05-18,1500,delivered,0,,18.5
SH0000005,C001,SUP002,WH004,2023-06-24,2024-07-06,2024-07-06,2500,delivered,0,,18.5
SH0000006,C001,SUP002,WH002,2023-07-15,2024-04-27,2024-04-27,1000,delivered,0,,18.5
SH0000007,C001,SUP002,WH006,2023-09-02,2024-06-15,2024-07-15,500,delivered,0,,18.5
SH0000008,C001,SUP002,WH005,2023-09-23,2024-07-06,2024-07-06,2500,delivered,0,,18.5
SH0000009,C001,SUP002,WH009,2023-10-28,2024-07-06,2024-07-06,2500,delivered,0,,18.5
SH0000010,C001,SUP002,WH001,2023-11-25,2024-08-03,2024-08-03,2500,delivered,0,,18.5
SH0000011,C001,SUP002,WH009,2023-12-09,2024-08-17,2024-08-17,2500,delivered,0,,18.5
SH0000012,C001,SUP002,WH005,2024-01-20,2024-09-14,2024-09-14,2500,delivered,0,,18.5
SH0000013,C001,SUP002,WH010,2024-02-17,2024-10-12,2024-10-12,1500,delivered,0,,18.5
SH0000014,C001,SUP002,WH008,2024-03-16,2024-11-09,2024-11-09,500,delivered,0,,18.5
SH0000015,C001,SUP002,WH008,2024-04-13,2024-11-16,2024-11-16,1500,delivered,0,,18.5
SH0000016,C001,SUP002,WH002,2024-05-04,2024-12-07,2024-12-07,1500,delivered,0,,18.5
SH0000017,C001,SUP002,WH004,2024-06-08,2025-01-11,2025-01-11,2500,delivered,0,,18.5
SH0000018,C001,SUP002,WH005,2024-06-22,2025-01-25,2025-01-25,1500,delivered,0,,18.5
SH0000019,C001,SUP002,WH005,2024-07-06,2025-01-18,2025-01-18,1500,delivered,0,,18.5
SH0000020,C001,SUP002,WH006,2024-08-10,2025-02-22,2025-02-22,2500,delivered,0,,18.5
SH0000021,C001,SUP002,WH005,2024-08-24,2025-03-08,2025-03-08,1000,delivered,0,,18.5
SH0000022,C001,SUP002,WH003,2024-09-21,2025-04-05,2025-04-05,2500,delivered,0,,18.5
SH0000023,C001,SUP002,WH009,2024-11-16,2025-05-31,2025-05-31,2000,delivered,0,,18.5
SH0000024,C001,SUP002,WH007,2024-12-14,2025-06-28,2025-06-28,500,delivered,0,,18.5
SH0000025,C001,SUP002,WH010,2025-01-25,2025-07-12,2025-07-12,500,delivered,0,,18.5
SH0000026,C001,SUP002,WH004,2025-02-22,2025-08-09,2025-08-09,2000,delivered,0,,18.5
SH0000027,C001,SUP002,WH005,2025-04-05,2025-10-11,2025-10-11,1000,delivered,0,,18.5
SH0000028,C001,SUP002,WH002,2025-05-17,2025-11-22,2025-11-22,2000,delivered,0,,18.5
SH0000029,C001,SUP002,WH010,2025-07-05,2026-01-03,2026-01-03,2000,delivered,0,,18.5
SH0000030,C001,SUP002,WH005,2025-08-02,2026-01-31,2026-01-31,2500,delivered,0,,18.5
